"collection_date","pangolin_call","major_lineage"
2020-10-15,"B.1.177.54","Other"
2020-10-17,"B.1.177","Other"
2020-10-17,"B.1.1.279","Other"
2020-10-16,"AD.2","Other"
2020-10-17,"B.1.177","Other"
2020-10-18,"B.1.177.81","Other"
2020-10-18,"B.1.177.54","Other"
2020-10-18,"B.1.177","Other"
2020-10-22,"B.1.177.4","Other"
2020-10-31,"B.1.177.54","Other"
2020-11-01,"B.1.177.4","Other"
2020-11-05,"B.1.160","Other"
2020-11-04,"B.1.160","Other"
2020-11-12,"B.1.367","Other"
2020-10-05,"B.1.177","Other"
2020-10-05,"B.1.1.311","Other"
2020-10-06,"B.1.177","Other"
2020-10-07,"B.1.177","Other"
2020-10-05,"B.1.1.307","Other"
2020-10-05,"C.30","Other"
2020-10-05,"B.1.177.4","Other"
2020-10-05,"C.30","Other"
2020-10-07,"B.1.258","Other"
2020-10-06,"B.1.1.37","Other"
2020-10-12,"B.1.177","Other"
2020-10-12,"B.1.177.16","Other"
2020-10-12,"B.1.177","Other"
2020-10-12,"B.1.1.307","Other"
2020-10-12,"B.1.1.307","Other"
2020-10-12,"B.1.1.307","Other"
2020-10-11,"B.1.177","Other"
2020-10-13,"B.1.160","Other"
2020-10-12,"B.1.177.56","Other"
2020-10-13,"B.1.1.279","Other"
2020-10-20,"B.1.177","Other"
2020-10-20,"B.1.1.37","Other"
2020-10-21,"B.1.177","Other"
2020-10-21,"B.1.177.4","Other"
2021-07-20,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-18,"AY.5","Delta"
2021-07-20,"AY.120","Delta"
2021-07-20,"AY.4","Delta"
2021-07-19,"AY.5","Delta"
2021-07-19,"B.1.617.2","Delta"
2021-07-15,"AY.43","Delta"
2021-07-19,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-17,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-19,"AY.5","Delta"
2021-07-18,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-17,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-20,"AY.9","Delta"
2021-07-20,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-16,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-18,"AY.5","Delta"
2021-07-19,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-18,"AY.5","Delta"
2021-07-19,"AY.4","Delta"
2021-07-19,"AY.5","Delta"
2021-07-17,"AY.4.2","Delta"
2021-07-19,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-20,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-18,"AY.6","Delta"
2021-07-18,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-19,"AY.4","Delta"
2021-07-18,"AY.6","Delta"
2021-07-18,"AY.4","Delta"
2021-07-18,"AY.4","Delta"
